index,headline
1,Prime Minister congratulates the Indian contingent at 2025 Asian Athletics Championships for their stupendous performance
2,Prime Minister greets the people of Telangana on their Statehood Day
3,Government NotifiesGuidelines for Scheme to Promote Manufacturing of Electric Passenger Cars in India
4,Government Notifies Guidelines for Scheme to Promote Manufacturing of Electric Passenger Cars in India
5,PM to participate in International Air Transport Association's 81st Annual General Meeting on 2nd June in New Delhi
6,Prime Minister meets the President of Asian Development Bank Mr. Masato Kanda
7,"Yoga Sangam Hits 25,000+ Registrations, Reflecting Growing Enthusiasm for IDY 2025"
8,A national memorial symposium on the 60th anniversary of Pandit Deendayal Upadhyaya Ji's philosophy of ‘Integral Humanism’
9,"On the Fourth Day of the 'Viksit Krishi Sankalp Abhiyan', Shri Shivraj Singh Chouhan Reaches Meerut, Uttar Pradesh"
10,Union Commerce and Industry Minister Shri Piyush Goyal commences three-day official visit to France;to visit Italy next
11,IEPFA and SEBI Launch First “Niveshak Shivir” in Pune to Empower Investors and Resolve Unclaimed Dividends
12,Prime Minister Shri Narendra Modi reiterates Devi Ahilyabai’s vision on the essence of true governance which lies in serving the people and improving their lives
13,Lt Gen Dinesh Singh Rana takes over as Commander-in-Chief of Andaman & Nicobar Command
14,MAIDEN VISIT OF EUNAVFOR SHIPS TO INDIA
15,"AIR MARSHAL JASVIR SINGH MANN AVSM, VM TAKES OVER AS SENIOR AIR STAFF OFFICER, WESTERN AIR COMMAND, INDIAN AIR FORCE"
16,"DRI foils drug smuggling in Mizoram, seizes 9.72 kg Methamphetamine tablets, one person arrested"
17,"Union Home Minister and Minister of Cooperation, Shri Amit Shah, inaugurates new building of Central Forensic Science Laboratory (CFSL), Kolkata, in West Bengal"
18,NHAI Chairman visits Kerala to inspect Highway Projects in Trivandrum and Kollam
19,Second Phase of NAKSHA Capacity Building Programme to be launched across five National Centres of Excellence from June 2
20,"Tiranga Rally: 25th edition of Fit India Sundays on Cycle pays tribute to Operation Sindoor, celebrates World Bicycle Day"
21,English rendering of PM’s address at the launch of various projects at Devi Ahilyabai Mahila Sashaktikaran Mahasammelan in Bhopal
22,"Prime Minister Shri Narendra Modi addresses the Mahila Sashaktikaran Mahasammelan on the occasion of 300th birth anniversary of Lokmata Devi Ahilya Bai Holkar in Bhopal, Madhya Pradesh"
23,Union Agriculture Minister Shri Shivraj Singh Chouhan holds a virtual interaction today with legislators from various states under the Viksit Krishi Sankalp Abhiyan'
24,"Prime Minister Shri Narendra Modi Virtually Inaugurates Satna and Datia Airports, Boosting Regional Connectivity in Madhya Pradesh"
25,Shri Shailendra Nath Gupta takes charge as Director General Defence Estates
26,SPRING TERM 2025 - PASSING OUT PARADE
27,INDIAN ARMY CONDUCTS TRIALS OF NEXT-GEN DEFENCE TECHNOLOGIES UNDER SIMULATED OPERATIONAL CONDITIONS
28,India reaffirms Commitment to Glacier Preservation at the High-Level International Conference in Dushanbe
29,"Dr. Mansukh Mandaviya Inaugurates Newly Constructed 30-Bedded ESIC Hospital in Kala Amb, Himachal Pradesh"
30,DARPG to deepen collaboration with Right to Services (RTS) Commissioners of States/UTs for improving quality of grievance redressal and citizen satisfaction through the RTS framework
31,Union Minister Dr. Jitendra Singh convenes constituency meeting to finalize month long activities to commemorate 11 years of Modi Govt
32,"Indian Astronaut Group Captain Shubhanshu Shukla to conduct exclusive Food & Nutrition Experiments Onboard International Space Station (ISS), Announces Union Minister Dr. Jitendra Singh"
33,Union Minister Sarbananda Sonowal embarks on five-day official visit to Norway & Denmark to strengthen maritime ties
34,Youth will Volunteer in Jan Aushadhi Kendras Under Seva Se Seekhen Programme
35,25th edition of Fit India Sundays on Cycle to be commemorated as special Tiranga Rally
36,ENVOYS OF FOUR NATIONS PRESENT CREDENTIALS TO THE PRESIDENT OF INDIA
37,PRESIDENT OF INDIA PRESENTS NATIONAL FLORENCE NIGHTINGALE AWARDS 2025
38,Prime Minister meets the family members of Shubham Dwivedi
39,"English rendering of PM’s address during the launch of various projects at Kanpur Nagar, Uttar Pradesh"
40,Prime Minister greets the people of Goa on their Statehood Day
41,"Prime Minister Shri Narendra Modi lays foundation stone, inaugurates various projects worth around Rs 47,600 crore at Kanpur, Uttar Pradesh"
42,"English rendering of PM's address during the launch of various projects at Karakat, Bihar"
43,Prime Minister meets the young cricketing sensation Vaibhav Suryavanshi
44,"Prime Minister Shri Narendra Modi lays the foundation stone, dedicates multiple development projects worth over Rs 48,520 crore at Karakat, Bihar"
45,PM to visit Madhya Pradesh on 31st May
46,Ayush Suraksha Portal Launched to Address Issues of Misleading Advertisements and Adverse Drug Reaction
47,Long time demand of people of Bihar for modernising terminal of Patna airport has been fulfilled now: Prime Minister Shri Narendra Modi
48,Prime Minister Shri Narendra Modi Dedicates to the Nation- Unit-1 (660 MW) of Ghatampur Thermal Power Project
49,1st Round of India-Chile CEPA Negotiation Concludes in New Delhi
50,Release of Policy document of DHRUVA (Digital Hub for Reference and Unique Virtual Address) - The Digital Address DPI
51,Interaction of Top-Performing Gramin Dak Sevaks with Union Minister of Communications for exemplary service during FY 2024–25
52,"Centre notifies Guidelines for Prevention and Regulation of Illegal Listing and Sale of Radio Equipment including Walkie Talkies on E-Commerce Platforms, 2025"
53,Sacred Relics of the Buddha Return to India After Historic Pilgrimage Across Vietnam
54,Prime Minister Shri Narendra Modi to attend the 300th Birth Anniversary of Lokmata Ahilyabai Holkar in Bhopal
