date,formatted_date,headline
2025-01-01,English Release 1-January 2025,Punjabi artiste Diljit Dosanjh meets Prime Minister
2025-01-01,English Release 1-January 2025,"Prime Minister condoles the demise of Padma Awardee and eminent botanist, Dr. KS Manilal"
2025-01-01,English Release 1-January 2025,Our Government is fully committed to furthering welfare of farmers: Prime Minister
2025-01-01,English Release 1-January 2025,Prime Minister wishes everyone a happy 2025
2025-01-01,English Release 1-January 2025,Cabinet approves extension of One-time Special Package on Di-Ammonium Phosphate (DAP) beyond the NBS subsidy for the period from 01.01.2025 till further orders to ensure sustainable availability of DAP at affordable prices to the farmers
2025-01-01,English Release 1-January 2025,Cabinet approves Modification/addition of the features/ provisions in the ongoing Central Sector Scheme of Pradhan Mantri Fasal Bima Yojana (PMFBY) and Restructured Weather Based Crop Insurance Scheme (RWBCIS) for its implementation
2025-01-01,English Release 1-January 2025,"The Union Cabinet has approved the continuation of Pradhan Mantri Fasal Bima Yojana and Restructured Weather Based Crop Insurance Scheme till 2025-26 with a total budget of ?69,515.71 crore: Shri Shivraj Singh Chouhan"
2025-01-01,English Release 1-January 2025,Cabinet approves Modification/addition of the features/ provisions in the ongoing Central Sector Scheme of Pradhan Mantri Fasal Bima Yojana (PMFBY) and Restructured Weather Based Crop Insurance Scheme (RWBCIS) for its implementation
2025-01-01,English Release 1-January 2025,Cabinet approves extension of One-time Special Package on Di-Ammonium Phosphate (DAP) beyond the NBS subsidy for the period from 01.01.2025 till further orders to ensure sustainable availability of DAP at affordable prices to the farmers
2025-01-01,English Release 1-January 2025,Ministry of Civil Aviation conducted a series of consultations with the stakeholders to ensure preparedness for the fog
2025-01-01,English Release 1-January 2025,Ministry of Coal Records Significant Growth in Coal Production and Dispatch in December 2024
2025-01-01,English Release 1-January 2025,EIC has evolved as a key facilitator of India’s export trade and quality standards compliance
2025-01-01,English Release 1-January 2025,"Tobacco Board focuses on sustainability and growth of the industry; exports reach 12,005 crores in 2023-24"
2025-01-01,English Release 1-January 2025,"“Indian Telecom Services Performance Indicator Report” for the Quarter July-September, 2024"
2025-01-01,English Release 1-January 2025,AIR MARSHAL JEETENDRA MISHRA ASSUMES COMMAND OF  IAF’S WESTERN AIR COMMAND
2025-01-01,English Release 1-January 2025,"INDIAN NAVY SET TO COMMISSION THREE FRONTLINE FLEET ASSETS NILGIRI, SURAT AND VAGHSHEER"
2025-01-01,English Release 1-January 2025,"Sale of tickets for Republic Day Parade & Beating Retreat to begin on January 02, 2025"
2025-01-01,English Release 1-January 2025,Ministry of Defence declares 2025 as ‘Year of Reforms’
2025-01-01,English Release 1-January 2025,Sh. Bhuvnesh Kumar assumes charge as Chief Executive Officer of Unique Identification Authority of India (UIDAI)
2025-01-01,English Release 1-January 2025,DFS Secretary Shri M. Nagaraju chairs meeting to expedite resolution of public grievances
2025-01-01,English Release 1-January 2025,Ministry of Finance Year Ender 2024: Department of Economic Affairs
2025-01-01,English Release 1-January 2025,"Union Home Minister and Minister of Cooperation, Shri Amit Shah, expresses gratitude to Prime Minister Shri Narendra Modi for Cabinet's decisions to provide additional subsidies on DAP and approve ?69,515.71 crore for the continuation of the ‘PM Fasal Bima Yojana’"
2025-01-01,English Release 1-January 2025,"Shri Amit Shah to release a book, titled ‘Jammu Kashmir and Ladakh: Through the Ages’ in New Delhi"
2025-01-01,English Release 1-January 2025,One Nation One Subscription
2025-01-01,English Release 1-January 2025,Press Communiqué
2025-01-01,English Release 1-January 2025,"'YEAR END REVIEW – 2024'- MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES (MSME)"
2025-01-01,English Release 1-January 2025,Mineral and non-ferrous metal production on growth track in FY 2024-25  (April-November)
2025-01-01,English Release 1-January 2025,"CMD, IREDA Vision for 2025: Market Innovations, Retail Renewable Push and Global Expansion"
2025-01-01,English Release 1-January 2025,YEAR END REVIEW 2024: MINISTRY OF PARLIAMENTARY AFFAIRS
2025-01-01,English Release 1-January 2025,DARPG issues the guidelines for the 28th National e-Governance Awards Scheme 2025
2025-01-01,English Release 1-January 2025,YEAR END REVIEW - 2024
2025-01-01,English Release 1-January 2025,Poverty-free villages will be created in the country by properly implementing all the schemes being run under the Rural Development Ministry on time: Shri Shivraj Singh Chouhan
2025-01-01,English Release 1-January 2025,"2025 will witness India assuming critical role in Global Biotechnology revolution; India’s 1st Biotechnology policy- BIO-E3 brought by Modi Govt 3.0 has already paved the way for it, says Science Minister Dr. Jitendra Singh"
2025-01-01,English Release 1-January 2025,Sarbananda Sonowal celebrates New Year with children; highlights India’s development milestones
2025-01-01,English Release 1-January 2025,YEAR END REVIEW 2024 OF MINISTRY OF TEXTILES
2025-01-01,English Release 1-January 2025,"Year End Review – Department of Drinking Water and Sanitation, Ministry of Jal Shakti"
2025-01-02,English Release 2-January 2025,President of India to visit Karnataka tomorrow
2025-01-02,English Release 2-January 2025,Prime Minister greets on the occasion of Urs of Khwaja Moinuddin Chishti
2025-01-02,English Release 2-January 2025,We strongly condemn the cowardly terrorist attack in New Orleans: Prime Minister
2025-01-02,English Release 2-January 2025,Prime Minister remembers Sri Mannathu Padmanabhan on his birth anniversary
2025-01-02,English Release 2-January 2025,ONDC has contributed to empowering small businesses and revolutionising e-commerce: Prime Minister
2025-01-02,English Release 2-January 2025,Prime Minister lauds Maharashtra Government's efforts to ensure all-round development in remote and Maoist-affected areas
2025-01-02,English Release 2-January 2025,PM to inaugurate and lay foundation stone of multiple development projects in Delhi on 3 January
2025-01-02,English Release 2-January 2025,Coal Sector Achieves Impressive 7.5 % Growth in November 2024 among Eight Core Industries
2025-01-02,English Release 2-January 2025,Record Monthly Production and Dispatch from Captive and Commercial Mines in December
2025-01-02,English Release 2-January 2025,Constitution of Working Group for the revision of the current series of Wholesale Price Index (Base 2011-12)
2025-01-02,English Release 2-January 2025,"DoT, in coordination with Telecom Service Providers, augments Telecom Services for Digital Maha Kumbh Mela 2025 at Prayagraj to ensure seamless communication for millions of devotees and visitors"
2025-01-02,English Release 2-January 2025,Journey to the Heart of Sanatan Dharma: Maha Kumbh 2025
2025-01-02,English Release 2-January 2025,DRDO’s 67th Foundation Day: Raksha Mantri meets senior scientists & officials in New Delhi
2025-01-02,English Release 2-January 2025,India submits its 4th Biennial Update Report to the United Nations Framework Convention on Climate Change
2025-01-02,English Release 2-January 2025,16.15 LAKH ELECTRIC VEHICLES INCENTIVISED UNDER FAME-II SCHEME
2025-01-02,English Release 2-January 2025,"Union Home Minister and Minister of Cooperation, Shri Amit Shah, releases 'Jammu Kashmir & Ladakh Through The Ages : A Visual Narrative of Continuities and Linkages’ book in New Delhi"
2025-01-02,English Release 2-January 2025,Union Minister's Action-Packed Day: A Series of Key Visits and Engagements Across Multiple Locations
2025-01-02,English Release 2-January 2025,Dr. Jitendra Singh Visits YSR Kadapa and Reviews Developmental Initiatives Under Aspirational Districts Programme
2025-01-02,English Release 2-January 2025,"Indian Railways' extensive support, with over 9,000 athletes across 29 disciplines, is shaping India's sports ecosystem and driving excellence both nationally and internationally."
2025-01-02,English Release 2-January 2025,Nano-formulation of darkness hormone could be therapeutic solution for Parkinson's disease
2025-01-02,English Release 2-January 2025,Union Minister Dr. Virendra Kumar presides over Stakeholder Meeting on Welfare Initiatives for DNT Communities
2025-01-02,English Release 2-January 2025,Commencement of Surveys from the month of January 2025
2025-01-02,English Release 2-January 2025,Empowering India's Economy
2025-01-02,English Release 2-January 2025,Quality Control Order to Ensure Quality in Steel Production
2025-01-02,English Release 2-January 2025,India’s share of global trade in textiles and apparel stands at 3.9%.
2025-01-02,English Release 2-January 2025,Ministry of Youth Affairs & Sports Announces National Sports Awards 2024
2025-01-03,English Release 3-January 2025,President of India Inaugurates KLE Cancer Hospital
2025-01-03,English Release 3-January 2025,President of India Graces commemoration of the golden jubilee celebrations of NIMHANS at Bengaluru
2025-01-03,English Release 3-January 2025,"Quality Healthcare, Accessible Healthcare, Affordable Healthcare: Mission of Prime Minister Modi, Says VP"
2025-01-03,English Release 3-January 2025,"Reference to Sanatan, reference to Hindu in Bharat evoking baffling reaction beyond comprehension is ironical and painful, says VP"
2025-01-03,English Release 3-January 2025,Text of Vice-President's address at the inauguration ceremony of the 27th International Congress of Vedanta at JNU (Excerpts)
2025-01-03,English Release 3-January 2025,PM to inaugurate Grameen Bharat Mahotsav 2025 in New Delhi on 4th January
2025-01-03,English Release 3-January 2025,"English rendering of PM's address at the laying of foundation stone, inauguration of various development works in Delhi"
2025-01-03,English Release 3-January 2025,Prime Minister Shri Narendra Modi inaugurates and lays foundation stone of multiple development projects in Delhi
2025-01-03,English Release 3-January 2025,Projects being inaugurated today reflect our commitment to empower people of Delhi: Prime Minister
2025-01-03,English Release 3-January 2025,Prime Minister remembers Rani Velu Nachiyar on her birth anniversary
2025-01-03,English Release 3-January 2025,Prime Minister pays tribute to Savitribai Phule Ji on her birth anniversary
2025-01-03,English Release 3-January 2025,Chess champion Koneru Humpy meets Prime Minister
2025-01-03,English Release 3-January 2025,English rendering of PM’s interaction with the beneficiaries of Swabhiman Apartments
2025-01-03,English Release 3-January 2025,Prime Minister Interacts with the Beneficiaries of Swabhiman Apartments
2025-01-03,English Release 3-January 2025,Year End Review 2024: Achievement of the Ministry of Civil Aviation
2025-01-03,English Release 3-January 2025,DPIIT Inks MoU with Startup Policy Forum to Boost Startup Ecosystem
2025-01-03,English Release 3-January 2025,"Govt amends Foreign Trade Policy, 2023 for Stakeholder Consultation; encourages inclusive decision-making"
2025-01-03,English Release 3-January 2025,Shri Piyush Goyal unveils ‘Logistics Ease Across Different States (LEADS) 2024’ Report
